PERIOD,NODE4,LAT4,LON4,NODE1,LAT1,LON1,MA1,DIST1,NODE2,LAT2,LON2,MA2,DIST2,NODE3,LAT3,LON3,MA3,DIST3
1,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
2,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
3,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
4,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
5,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
6,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
7,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
8,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
9,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
10,CCK,1.385351,103.745053,STN,1.351944,103.765833,9.351851852,4.376,YIS,1.423272,103.844975,-20,11.885,BIS,1.359603,103.843286,-15,11.293
11,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
12,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
13,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
14,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
15,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
16,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
17,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
18,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
19,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
20,CCK,1.390096,103.745582,STN,1.351944,103.765833,3.290909091,4.95,YIS,1.425059,103.849078,-21,12.148,BIS,1.364013,103.844911,-16,11.42
21,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
22,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
23,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
24,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
25,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
26,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
27,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
28,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
29,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
30,CCK,1.40005,103.748157,STN,1.351944,103.765833,1.545454545,5.72,YIS,1.424709,103.857244,-22,12.436,BIS,1.371274,103.844609,-14,11.193
